article_id,hypothesis_text,linked_theory,linkage_strength,inference_type,mechanism_specified,mechanism_description,linkage_explanation
Study090,"IMT would improve the MIP of elite swimmers, accelerating the lactate removal rate, and, therefore, improving swimming aerobic performance.",Central Governor Model,explicit,derived,TRUE,"The mechanism is not explicitly stated in the text, but it can be inferred that the improvement in MIP and lactate removal rate is expected to improve swimming aerobic performance.",The hypothesis follows deductively from the Central Governor Model's core claims about the importance of inspiratory muscle strength and lactate removal rate for optimal athletic performance.
Study091,full ROM resistance training would immediately increase joint ROM and decrease muscle stiffness,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by previous studies, but there is no explicit theoretical grounding"
Study094,a distal external focus would result in higher accuracy scores as well as increased functional variability compared to a more proximal or internal focus,NA,none,motivated,FALSE,NA,the purpose of the present study was to examine whether a distal focus would increase functional variability in skilled performers
Study095,"We hypothesized that the NGF, GDNF, and COX-2 mRNA levels would increase after the first exercise bout, but the magnitude of increases would be smaller after the second than the first bout.",NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the repeated bout effect and previous animal studies, but no explicit theoretical framework is stated."
Study096,"FRTD have been commonly used to develop specific and determinant abilities in team sport players, such as sprinting, COD or jumping.",NA,none,motivated,FALSE,NA,The text motivates the use of FRTD without providing a clear theoretical connection.
Study097,We hypothesized that local muscle stiffness would correlate with the respective joint ROM.,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the context of soccer players having lower joint ROM and higher muscle stiffness, but no explicit theoretical framework is provided."
Study098,athletes applying the common osoto-gari defence reaction display higher knee joint loadings accompanied with reduced muscle excitation levels in the musculature encompassing and stabilising the knee joint compared to that of the modified osoto-gari defence reaction,NA,none,motivated,TRUE,reduced muscle excitation levels in the musculature encompassing and stabilising the knee joint,"The hypothesis is motivated by the research context, but there is no explicit logical connection to a theory."
Study099,We hypothesized that the choice condition would enhance learning as measured by a delayed retention test.,OPTIMAL theory,explicit,consistent,TRUE,"Autonomy support facilitates performance by enhancing performers' expectancies, including confidence in their ability to perform well.",The OPTIMAL theory predicts that autonomy support enhances performance and learning through various mechanisms.
Study100,increased pitching distance would result in increased upper extremity kinetics,Constraint-Led Approach,explicit,derived,TRUE,"the increased time for the ball to reach home plate allows the batter more time to react and hit the ball, leading to increased upper extremity kinetics","The hypothesis follows directly from the theory's claim that increasing pitching distance provides the batter with more time to see the ball, swing, and make good contact."
Study100,"as pitching distance increases, duration of ball flight, horizontal break, and vertical break would increase, while the percentage of strikes thrown would decrease",Constraint-Led Approach,explicit,derived,TRUE,"the increased distance between the pitching mound and home plate allows the ball to travel farther, resulting in longer flight times, greater horizontal and vertical break, and a decrease in strike percentage","The hypothesis follows directly from the theory's claim that increasing pitching distance provides the batter with more time to see the ball, swing, and make good contact."
Study101,a 30-min response inhibition cognitive task would induce MF and impair peak and mean time of the directional component but not the linear component of RSA,Self-Determination Theory,explicit,derived,TRUE,"the cognitive task induces mental fatigue, which impairs peak and mean time of the directional component but not the linear component of RSA",this hypothesis is derived from Self-Determination Theory's claims about the effects of mental fatigue on performance
Study101,"MF would not affect peak height during isolated CMJs (measured at baseline and after each experimental treatment) and the RJA, whereas MF would impair mean height and fatigue index (measured as decrement score) during the RJA",Self-Determination Theory,explicit,derived,TRUE,"the cognitive task induces mental fatigue, which does not affect peak height during isolated CMJs and the RJA, but impairs mean height and fatigue index during the RJA",this hypothesis is derived from Self-Determination Theory's claims about the effects of mental fatigue on performance
Study101,"reaction times during the PVT would be slower following 30 min of a mentally fatiguing task compared to watching neutral videos, and slowest following the serial combination of MF plus physical fatigue",Self-Determination Theory,explicit,derived,TRUE,"the cognitive task induces mental fatigue, which impairs reaction times during the PVT, and physical fatigue exacerbates this effect",this hypothesis is derived from Self-Determination Theory's claims about the effects of mental fatigue on performance
Study102,"women would run with lower magnitudes of ankle and knee extensor torques and positive power and work, but with greater hip joint torques and positive power and work compared to men",NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the observed age-related and gender-related differences in running biomechanics, but there is no explicit theoretical grounding."
Study104,The effectiveness of sprint training increased progressively as the athletes matured.,None identified,none,motivated,FALSE,NA,"The study's findings are framed by the context of age-related changes in training response, but no explicit theory is cited."
Study105,athletes who were returning to play within 60 days after SRC would demonstrate altered LE biomechanics compared with the healthy control group during a jump-landing task,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the theories of Perception-Action Coupling Loop and Cerebellar Dysfunction Theory, but no explicit logical connection is stated."
Study106,runners would demonstrate a footstrike pattern transition from RFS to non-RFS in all running conditions,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the previous studies' findings on footstrike pattern modification, but no explicit theoretical framework is provided."
Study106,"a reduction in the VILR, accompanied with a decrease in stride length and an increase in running cadence and Knee-Flex IC",NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the previous studies' findings on gait retraining and biomechanical effects, but no explicit theoretical framework is provided."
Study108,"H1a: In winner shots, athletes will display longer QE compared to forced errors and unforced errors.",Information Processing Approach,explicit,derived,TRUE,QE is expected to sustain qualitatively superior shots by parametrizing the variables relevant for the subsequent stroke.,"The hypothesis follows deductively from the Information Processing Approach, which posits that athletes engage during the QE period in extensive cognitive processing to organize their subsequent action."
Study108,"H1b: In forced errors, athletes will display longer QE compared to unforced errors.",Information Processing Approach,explicit,derived,TRUE,QE is expected to sustain qualitatively superior shots by parametrizing the variables relevant for the subsequent stroke.,"The hypothesis follows deductively from the Information Processing Approach, which posits that athletes engage during the QE period in extensive cognitive processing to organize their subsequent action."
Study108,"H2a: In winners, as opposed to unforced errors, athletes will extend their QE durations more in the HD match compared to the LD match.",Information Processing Approach,explicit,derived,TRUE,QE is expected to sustain qualitatively superior shots by parametrizing the variables relevant for the subsequent stroke.,"The hypothesis follows deductively from the Information Processing Approach, which posits that athletes engage during the QE period in extensive cognitive processing to organize their subsequent action."
Study108,"H2b: In winners, as opposed to forced errors, athletes will extend their QE durations more in the HD match compared to the LD match.",Information Processing Approach,explicit,derived,TRUE,QE is expected to sustain qualitatively superior shots by parametrizing the variables relevant for the subsequent stroke.,"The hypothesis follows deductively from the Information Processing Approach, which posits that athletes engage during the QE period in extensive cognitive processing to organize their subsequent action."
Study109,a 10% increase in step rate would result in significant reductions in frontal-plane hip and pelvis kinematics,NA,none,consistent,FALSE,NA,"The hypothesis is motivated by the desire to investigate the effectiveness of increasing step rate, but no explicit theoretical framework is provided."
Study110,patients with CAI would show less force steadiness and accuracy in all 3 muscle groups compared with healthy control participants,NA,none,consistent,FALSE,NA,"The hypothesis is motivated by the literature on force sense in patients with CAI, but there is no explicit logical connection between the theory and the hypothesis."
Study111,"rugby players would have (1) greater muscle volume due to long-term training and competition, (2) longer BFlh fascicle length due to the potentially larger muscle size, (3) higher BFlh passive stiffness due to the potentially higher muscle volume, and (4) lower BFlh fascicle length/KE, BFlh/KE and KF/KE muscle volume ratios due to potentially higher KE activities compared with healthy controls",Muscle Imbalance Theory,explicit,consistent,TRUE,"theoretical reasoning is based on the idea that muscle volume is a strong predictor of strength and power, and that long-term training and competition can lead to increased muscle size and passive stiffness","the hypotheses follow from the Muscle Imbalance Theory's core claims about the relationship between muscle volume, fascicle length, and passive stiffness"
Study112,"We hypothesized that, for each region of the trapezius, the corresponding MVIC would produce the highest excitation relative to the other MVICs.",NA,none,consistent,FALSE,NA,"The hypothesis is motivated by the clinical context and the use of manual muscle tests, but there is no explicit theoretical grounding."
Study113,RPE 5 2 would result in greater TTF than RPE 5 8,Unified Taxonomy Of Fatigue,explicit,consistent,TRUE,"fatigue-induced processes occurring at, or distal to, the neuromuscular junction (i.e., peripheral fatigue) as well as proximal to the neuromuscular junction (i.e., central fatigue)","The Unified Taxonomy Of Fatigue predicts that changes in homeostasis and an individual's psychological state occur during exercise, leading to differences in TTF."
Study113,MVIC would decrease from pretest to posttest with no difference between RPE 5 2 and RPE 5 8,Unified Taxonomy Of Fatigue,explicit,consistent,TRUE,"fatigue-induced processes occurring at, or distal to, the neuromuscular junction (i.e., peripheral fatigue) as well as proximal to the neuromuscular junction (i.e., central fatigue)","The Unified Taxonomy Of Fatigue predicts that changes in homeostasis and an individual's psychological state occur during exercise, leading to decreases in MVIC."
Study113,EMG AMP would decrease from pretest to posttest MVIC with no difference between RPE 5 2 and RPE 5 8,Unified Taxonomy Of Fatigue,explicit,consistent,TRUE,"fatigue-induced processes occurring at, or distal to, the neuromuscular junction (i.e., peripheral fatigue) as well as proximal to the neuromuscular junction (i.e., central fatigue)","The Unified Taxonomy Of Fatigue predicts that changes in homeostasis and an individual's psychological state occur during exercise, leading to decreases in EMG AMP."
Study113,EMG MPF would not change from pretest to posttest MVIC for either RPE 5 2 or RPE 5 8,Unified Taxonomy Of Fatigue,explicit,consistent,TRUE,"fatigue-induced processes occurring at, or distal to, the neuromuscular junction (i.e., peripheral fatigue) as well as proximal to the neuromuscular junction (i.e., central fatigue)","The Unified Taxonomy Of Fatigue predicts that changes in homeostasis and an individual's psychological state occur during exercise, leading to no change in EMG MPF."
Study114,"dirt and gravel would produce 1) lower tibial accelerations than running over a paved surface, 2) greater shock attenuation than running over a paved surface, and 3) no differences in tibial accelerations or shock attenuations between dirt and gravel running surfaces",NA,none,motivated,FALSE,NA,"The hypotheses are motivated by the study's aim to explore differences in tibial accelerations and shock attenuations when running over different surfaces, but no explicit theoretical framework is provided."
Study115,"4v4-SSG format results in more actions, more different actions types, more creative actions and more different creative actions types compared to regular 11v11 matches.",Ecological Approach,explicit,consistent,TRUE,"The larger, more variable, degenerate motor repertoire allows athletes to adapt more flexibly in a situation, which increases the likelihood of creative actions.",This hypothesis follows from the ecological approach's conceptualization that creative actions emerge in the athlete's attempt to adapt to task and environmental constraints.
Study116,"MI and RI would both improve anxiety and affect, compared with a control condition.",NA,none,consistent,FALSE,NA,"The study hypothesizes that both MI and RI will improve anxiety and affect, but does not explicitly link this to a theoretical framework."
Study116,"RI would elicit greater theta power (i.e., more cognitive control) than MI.",NA,none,consistent,FALSE,NA,"The study hypothesizes that RI will elicit greater theta power than MI, but does not explicitly link this to a theoretical framework."
Study116,Both MI and RI would elicit greater alpha power when compared with the control condition.,NA,none,consistent,FALSE,NA,"The study hypothesizes that both MI and RI will elicit greater alpha power than the control condition, but does not explicitly link this to a theoretical framework."
Study117,"listening to research-selected music prior to a visual reaction time task would increase affective responses (i.e., feeling status and arousal state) and thus reduce RT",NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the theoretical framework of music's influence on affective responses and reaction time, but no explicit logical connection is stated."
Study118,individualized BFR training combined with traditional rehabilitation training would produce better recovery,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the context of rehabilitation and the potential benefits of individualized training, but no explicit theoretical framework is provided."
Study119,"The C&J would induce PAPE in both UL and LL performance, and PAPE would be greater using 7-and 12-minute intervals than with 4-minute intervals.",Postactivation Performance Enhancement (Pape) Theory,explicit,derived,TRUE,"greater recruitment of motor units and excitability of motoneurons, as well as greater muscle fiber conduction velocity",The hypothesis is directly stated as following from the Pape Theory's core claims about neural factors driving PAPE.
Study120,The gluteus medius and gluteus maximus would show more activation during SHA-anterior rolling than during SHAneutral or SHA-posterior rolling.,NA,none,consistent,FALSE,NA,The hypothesis is motivated by the context of gluteus medius weakness and the need to assess hip abductor muscle activity during SHA in various log-rolling positions.
Study120,The tensor fasciae latae would show less activation during SHA-anterior rolling than during SHA-neutral or SHA-posterior rolling.,NA,none,consistent,FALSE,NA,The hypothesis is motivated by the context of gluteus medius weakness and the need to assess hip abductor muscle activity during SHA in various log-rolling positions.
Study121,drafting will result in a greater decrease in physical and especially perceived intensity for each position after the leading skater,NA,none,consistent,FALSE,NA,"the hypothesis is motivated by the theoretical framework of drafting, but no explicit logical connection is stated"
Study122,The DAO would reduce the tibial compressive force and allow greater sagittal ankle excursion compared with the walking boot.,"Mechanical Properties Of Bone, Bone Remodeling And Adaptation",explicit,consistent,TRUE,The DAO reduces the loading environment to theoretically reduce the stress and therefore reduce the strain on the bone and improving healing.,"The hypothesis is consistent with the theories of mechanical properties of bone and bone remodeling and adaptation, as it aims to reduce the loading environment to promote bone healing."
Study123,We hypothesized that these athletes would have significantly greater ACL CSAs in the leg that is loaded the most in comparison with the contralateral control leg.,NA,none,consistent,FALSE,NA,"The hypothesis is motivated by the idea that exercise can increase ACL size, but there is no explicit logical connection to a named theory."
Study123,We predicted a significant negative correlation between the bilateral difference in the ACL CSA and age of training onset.,NA,none,consistent,FALSE,NA,"The hypothesis is motivated by the idea that age of training onset may influence ACL size, but there is no explicit logical connection to a named theory."
Study123,We hypothesized that these muscle groups would produce significantly greater peak torques and that the patellar tendon diameter would be significantly greater in the athletes' leg that is loaded the most in comparison with the other leg.,NA,none,consistent,FALSE,NA,"The hypothesis is motivated by the idea that asymmetric loading history may influence muscle strength and tendon size, but there is no explicit logical connection to a named theory."
Study124,"an 8-week hamstring flexibility intervention would significantly increase the range of hip joint flexion and hamstring optimal lengths, but not hamstring strength for both males and females",NA,none,motivated,FALSE,NA,"The hypotheses are motivated by the previous studies' findings, but there is no explicit theoretical grounding."
Study124,"an 8-week hamstring strength intervention would significantly increase hamstring strength and optimal lengths, but not the range of hip joint flexion for both males and females",NA,none,motivated,FALSE,NA,"The hypotheses are motivated by the previous studies' findings, but there is no explicit theoretical grounding."
Study125,it was hypothesized that isometric absolute PF and relative PF would demonstrate a moderate relationship with load-carrying performance.,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the context of load carriage and the use of isometric force-time characteristics, but no explicit theoretical framework is provided."
Study125,it was postulated that a strong relationship between isometric force-time characteristics and SLJ performance would be observed.,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the context of standing long jump and the use of isometric force-time characteristics, but no explicit theoretical framework is provided."
Study126,those with upper extremity pain would show reduced energy flow into the proximal pelvis and trunk and reduced energy flow out of the distal pelvis and trunk during the acceleration phase compared with pitchers who did not have upper extremity pain,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the previous studies' findings, but there is no explicit theoretical grounding"
Study127,the SSB will require a larger MEE from the knee NJT and a smaller MEE from the ankle and hip NJTs compared with the TB,Mechanical Energy Expenditure (Mee) Analysis,explicit,derived,TRUE,the static stick figure developed in Appendix A,the hypothesis follows deductively from the Mee Analysis's core claims
Study127,"the knee NJT MEE will have a larger contribution, and the hip and ankle NJT MEE will have a smaller contribution, to the total MEE with the SSB",Mechanical Energy Expenditure (Mee) Analysis,explicit,derived,TRUE,the static stick figure developed in Appendix A,the hypothesis follows deductively from the Mee Analysis's core claims
Study127,"a lower load lifted (and total MEE) and a more upright posture with the SSB, which will result from a smaller hip maximum flexion angle (MFA), peak hip NJT, and ankle NJT compared with the TB",Mechanical Energy Expenditure (Mee) Analysis,explicit,derived,TRUE,the static stick figure developed in Appendix A,the hypothesis follows deductively from the Mee Analysis's core claims
Study129,"participants with CAI would have alterations in both energy dissipation and generation by the ankle, knee, and hip joints during maximal jump landing and cutting",NA,none,motivated,TRUE,"alterations in both energy dissipation and generation by the ankle, knee, and hip joints during maximal jump landing and cutting",the study aims to investigate the effects of CAI on joint energetics
Study129,"copers would have similar energy dissipation and generation by the ankle, knee, and hip joints when compared with controls",NA,none,motivated,TRUE,"similar energy dissipation and generation by the ankle, knee, and hip joints when compared with controls",the study aims to investigate the effects of CAI on joint energetics
Study131,"More precisely, we predict that the training session with a time limitation solving the task goals would increase mental load of players, reflected by larger pupil diameters, longer saccadic latencies, higher saccade velocities, lower saccade accuracy, and number of saccades, compared to the session without this time-task constraint.",NA,none,motivated,TRUE,"The manipulation of task constraints during the training sessions (e.g., game rules, type of equipment used, size and/or marks of the playing areas, nets, and goals, the number of players involved in the practice task) is a common strategy used by the coaches to promote the ongoing search for movement solutions by players to achieve the specific task goals.","The hypothesis is motivated by the theoretical framework of the Constraint-Led Approach, which suggests that coaches should guide the behavior of their athletes towards performance solutions by manipulating the constraints of the training tasks."
Study133,"mental fatigue would impair players' endurance capacity, agility, sprinting ability and AF-specific technical skills",Psychobiological Model Of Endurance,explicit,consistent,TRUE,"mental fatigue impairs cognitive attention, leading to decreased performance in physical and technical skills","the hypothesis is consistent with the Psychobiological Model Of Endurance, which posits that mental fatigue can impair physical performance"
Study134,we hypothesized that men would exhibit larger CSAs and thicknesses in the absolute values but not in the normalized values,NA,none,consistent,FALSE,NA,no specific theory is explicitly linked to this hypothesis
Study134,we proposed that no sex differences would be identified in US-based SWE stiffness of the cervical muscles,NA,none,consistent,FALSE,NA,no specific theory is explicitly linked to this hypothesis
Study136,"Following a single session of SMR NFT, professional golfers would demonstrate better putting performance, including a higher probability success rate and lower mean absolute error from the hole, than that associated with the no-training control (CON) condition.",Psychomotor Efficiency And Neural Proficiency Hypotheses,explicit,consistent,TRUE,"efficient cognitive states during motor preparation for a task are important psychological constructs that can promote superior precision sports performance (e.g., putting or shooting) of highly skilled athletes.",The hypothesis is derived from the theory's core claims about efficient cognitive states and their relation to superior precision sports performance.
Study136,"Following a single session of SMR NFT, professional golfers would exhibit higher SMR power during motor preparation for a putting task than in the CON condition.",Neurofeedback And Precision Sports Performance,explicit,consistent,TRUE,"higher SMR power is associated with less neural noise in the essential neuromotor processes, which, in turn, results in optimal aiming-related task performance.",The hypothesis is derived from the theory's claims about the relationship between SMR power and optimal aiming-related task performance.
Study136,"Following a single session of SMR NFT, professional golfers would exhibit improved scores on some of the psychological measures associated with SMR functionality (i.e., lower attention engagements and conscious motor processing and higher physical relaxation) relative to those associated with the CON condition.",Self-Regulation And Precision Sports Performance,implicit,consistent,TRUE,"lower attention engagements and conscious motor processing, and higher physical relaxation are conducive to sports performance.",The hypothesis is implied by the theory's claims about the relationship between psychological states and sports performance.
Study137,there would be a direct correlation between PCT and soft tissue GIRD in the dominant arm,Davis's Law,explicit,consistent,TRUE,"the capsule may begin to adapt and hypertrophy because of repetitive loading, increasing its ability to absorb energy and resist distraction","this hypothesis follows from Davis's Law, which states that the capsule may adapt and hypertrophy due to repetitive loading"
Study137,no relationship between PCT and soft tissue GIRD in the nondominant arm,NA,none,none,FALSE,NA,
Study137,a strong positive relationship between soft tissue GIRD and the bilateral difference in PCT (posterior capsule hypertrophy [PCH]),NA,none,none,FALSE,NA,
Study138,"ECs and ADCs would be more effective than ICs and neutral control cues, and that ADCs would be more effective than ECs, at enhancing vertical jump and 20 m sprint performance in youth academy soccer players.",Orientation Of Focus Theory,explicit,consistent,TRUE,"The theory implies that directing one's attention internally leads to a more deliberate form of movement control which can constrain movement by disrupting automatic control mechanisms, whereas an external focus encourages greater automaticity of action in promoting unconscious, impulsive and reflexive control mechanisms.","This hypothesis is consistent with the Orientation Of Focus Theory, which suggests that internal attention leads to more deliberate movement control, while external attention promotes automaticity."
Study139,Fascicle behavior would differ by both contraction mode and intensity,NA,none,motivated,FALSE,NA,"The hypotheses are motivated by the theoretical framework, but no explicit logical connection is stated"
Study139,"Fascicle behavior would differ by both contraction mode and intensity, and these effects would be muscle length dependent",NA,none,motivated,FALSE,NA,"The hypotheses are motivated by the theoretical framework, but no explicit logical connection is stated"
Study140,"there would be differences in EMG amplitude, as well as in ratios between the exercises",NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the desire to understand scapular muscle activation ratios and their potential impact on exercise choice, but no explicit theoretical framework is provided."
Study141,repeated IPC would attenuate the markers of EIMD during recovery in healthy recreational males to a greater extent than acute IPC and a control group,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the theoretical framework of ischemic conditioning, but no explicit logical connection is stated"
Study142,"cognitive effort with auditive distractor throughout prolonged endurance sessions impairs inhibitory control, MOT skill, HRV, and increases subjective mental fatigue until 24-h after an endurance training session",NA,none,consistent,FALSE,NA,"The hypothesis is motivated by the theoretical framework of cognitive interference control system and psychobiological model of endurance, but there is no logical derivation."
Study142,"the prolonged cognitive effort (e.g., MOT) and endurance task plus auditive distractor together represent a stimulus that might impair inhibitory control, MOT skill, HRV, and increase subjective mental fatigue",NA,none,consistent,FALSE,NA,"The hypothesis is motivated by the theoretical framework of cognitive interference control system and psychobiological model of endurance, but there is no logical derivation."
Study143,factors related to explosive strength and maximal power would be more affected by a demanding field exercise than maximal strength,Mechanistic Explanatory Model Of Muscle Damage And Recovery,explicit,derived,TRUE,muscle damage related to high activity levels and changes in calcium-handling proteins,the hypothesis follows deductively from the theory's core claims about muscle damage and recovery
Study143,more pronounced impairments in type II fibers compared with type I fibers,Mechanistic Explanatory Model Of Muscle Damage And Recovery,explicit,derived,TRUE,muscle damage and changes in fiber type composition,the hypothesis follows deductively from the theory's core claims about muscle damage and recovery
Study143,changes in calcium-handling proteins are involved in the etiology of decrements in physical performance,Mechanistic Explanatory Model Of Calcium-Handling And Dynamics In Muscle Cells,explicit,derived,TRUE,changes in calcium-handling proteins and muscle damage,the hypothesis follows deductively from the theory's core claims about calcium-handling and muscle dynamics
Study143,impairments in explosive strength and power together with muscle cellular outcomes would recover faster in women than men,Self-Determination Theory,implicit,consistent,FALSE,NA,the hypothesis is compatible with the theory's claims about sex differences in physical performance and recovery
Study144,"energy cost would be reduced, and leg stiffness increased, in the super shoes",NA,none,motivated,FALSE,NA,"The hypothesis is motivated by previous research findings, but no explicit theoretical framework is stated."
Study145,hamstring would develop less neuromuscular fatigue than quadriceps muscles,Central Governor Model,explicit,consistent,TRUE,lower fatigability due to greater proportion of fatigue-resistant Type I muscle fibers,"The hypothesis is consistent with the Central Governor Model, which suggests that hamstring muscles are less fatigable than quadriceps muscles due to their higher proportion of fatigue-resistant Type I muscle fibers."
Study146,the average %VȮ 2peak during a cycling time trial (TT) is higher with acute hypoxia than near sea level,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the observed differences in VȮ 2peak and performance with hypoxia, but no explicit theoretical framework is provided."
Study148,"MVC torque and central mechanisms contributing to voluntary activation of the elbow flexors would be reduced due to the contraction protocol, and this reduction would be exacerbated under conditions of hypoxia compared to sham.",Central Governor Model,explicit,consistent,TRUE,"The mechanism is not explicitly stated, but it can be inferred that the reduction in MVC torque and central mechanisms is expected to occur due to the contraction protocol and exacerbated by hypoxia.",The hypothesis follows from the Central Governor Model's concept of neuromuscular fatigue and its modulation by oxygen availability.
Study148,"Voluntary activation of the elbow flexors would begin to recover rapidly after the sustained submaximal contraction, although recovery of voluntary activation would be delayed under conditions of hypoxia compared to sham.",Central Governor Model,explicit,consistent,TRUE,"The mechanism is not explicitly stated, but it can be inferred that the recovery of voluntary activation is expected to occur due to the Central Governor Model's concept of neuromuscular fatigue and its modulation by oxygen availability.",The hypothesis follows from the Central Governor Model's concept of neuromuscular fatigue and its modulation by oxygen availability.
Study149,"the boundaries of the moderate-intensity (i.e., GET), heavy-intensity (i.e., GET-CP and RCP), and severe-intensity (i.e., V Ȯ2max ) domains and W9 would be reduced after 90 km of predominantly moderate-intensity cycling",Central Governor Model,explicit,consistent,FALSE,NA,"The hypothesis is consistent with the Central Governor Model, which suggests that prolonged exercise can lead to fatigue and reduced performance"
Study150,"the time course of muscle-and neural-related variables would demonstrate different behavior in magnitude of change, in the course of successive conditioning contractions",Postactivation Potentiation (PAP),explicit,consistent,TRUE,"the phosphorylation of myosin regulatory light chains, which is suggested to enhance the excitation-contraction coupling efficiency","The hypothesis follows from the theory's mechanism of PAP, where the phosphorylation of myosin regulatory light chains enhances the excitation-contraction coupling efficiency."
Study151,We hypothesised that high-volume EB-RET would elicit significant and equivalent increases in iMyoPS rates and intracellular regulatory signaling responses in YM and OM.,NA,none,motivated,TRUE,The text explains that the expected increase in iMyoPS rates is due to the stimulation of MPS by high-volume EB-RET.,"The hypothesis is motivated by the theoretical framework of muscle protein synthesis and its regulation, but no explicit theory is cited."
Study152,patients with PFP would exhibit additional reductions in all quadriceps neuromuscular function as exercise sets progressed,Neuromuscular Fatigue Theory,explicit,consistent,TRUE,arthrogenic muscle inhibition and neuromuscular fatigue due to continuous exercises and high-demand tasks,"This hypothesis is consistent with the Neuromuscular Fatigue Theory, which suggests that prolonged adaptations may negatively affect joint stability and energy absorption during functional activities."
Study152,patients with PFP would display lower fatigue levels with worse muscular endurance performance during and after isokinetic exercise compared with the control group,Neuromuscular Fatigue Theory,explicit,consistent,TRUE,arthrogenic muscle inhibition and neuromuscular fatigue due to continuous exercises and high-demand tasks,"This hypothesis is consistent with the Neuromuscular Fatigue Theory, which suggests that prolonged adaptations may negatively affect joint stability and energy absorption during functional activities."
Study153,We hypothesised that crow hop throws would generate lower torque on the elbow than standing throws at each distance of the interval throwing program.,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the desire to understand the effect of crow hop on elbow torque, but no explicit theoretical framework is provided."
Study154,"the 50%v dec training group would improve sprint acceleration performance and underlying mechanical variables, more than a traditional RSS training with a light load or without a load",NA,none,motivated,FALSE,NA,"the hypothesis is motivated by the theoretical framework of RSS training, but no explicit logical connection is stated"
Study155,these 3 cryotherapy modalities would decrease muscle damage in middle-and long-distance runners at different times,NA,none,consistent,FALSE,NA,"The hypotheses are motivated by the context of previous studies and the general understanding of cryotherapy's effects, but no explicit theoretical framework is provided."
Study155,WBC would be more beneficial for decreasing muscle damage in middle-and long-distance runners,NA,none,consistent,FALSE,NA,"The hypotheses are motivated by the context of previous studies and the general understanding of cryotherapy's effects, but no explicit theoretical framework is provided."
Study156,We hypothesised that academy players would present with significantly greater total daily energy expenditure than non-academy players.,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the theoretical framework of energy expenditure and training demands, but no explicit theory is cited."
Study157,"Nordic walking in water would exert a variety of beneficial impacts on physical fitness, glycemic control, vascular function, cerebrovascular reactivity (CVR), and cognitive impairment in elderly patients with type 2 diabetes.",NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the theoretical framework of exercise benefits for physical fitness, glycemic control, and vascular function, but no explicit theory is cited."
Study158,"a higher CO and SV (expressed as %COmax and %SVmax) will occur in women versus men in response to interval exercise, due to their smaller heart size and lower blood volume which may elicit a greater relative load on the heart compared to men",Central Governor Model,explicit,consistent,TRUE,smaller heart size and lower blood volume may elicit a greater relative load on the heart compared to men,"the hypothesis is consistent with the Central Governor Model, which suggests that women's smaller heart size and lower blood volume may lead to a greater relative load on the heart"
Study159,"it is hypothesized that given the differences presented within previous research in hurling, that differences in running performance will be present in the current investigation and because of the increased level of preparation that occurs among elite-level players, they will possess superior conditioning",NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the previous research in hurling, but there is no explicit theoretical grounding"
Study160,there would be variation in the levels of the hormone indices studied,"Dual-Process Model (implied, not explicitly stated)",implicit,consistent,FALSE,NA,"The hypothesis is implied by the theoretical context of neuroendocrine dynamics during kickboxing, but no explicit logical connection to a named theory is made."
Study161,higher exposure time to smartphone applications leads to higher impairment in passing decision-making in professional soccer athletes,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the theoretical framework of ecological dynamics and the multifactorial model of sports performance, but no explicit logical connection is stated."
Study164,the application of CWI at 108C but not 158C would reduce mVO2 postimmersion,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the premise of CWI to reduce tissue metabolic rate, but no explicit theoretical connection is made."
Study165,"positional differences would exist in turning activity, with central midfielders performing the greatest turning frequency",NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the desire to understand the physical demands of soccer match play and improve physical preparation strategies, but no explicit theoretical framework is provided."
Study166,that both BEP and HRP would improve neuromuscular performance on the following day,Self-Determination Theory,explicit,consistent,FALSE,NA,"This hypothesis is consistent with Self-Determination Theory, which suggests that priming activity may have to be specific to subsequent performance requirements to maximize neuromuscular performance."
Study166,that BEP would induce superior performance enhancements compared with HRP,Postactivation Performance Enhancement (PAPE),explicit,consistent,FALSE,NA,"This hypothesis is consistent with PAPE, which suggests that low-volume exercise stimuli can improve short-term neuromuscular performance."
