article_id,meth_cv_alignment,meth_cv_rationale,meth_mechanism_operationalised,meth_mechanism_detail,meth_population_fit,meth_population_rationale,meth_error,meth_raw_response
Study149,aligned,"The study directly measures the theoretical constructs of the Critical Power Model (CP and W') via the 3-minute all-out test, and the Three-Intensity-Domain Model (GET, RCP, V̇O2max) via the ramp-incremental test. All key constructs specified in the theoretical framework and hypotheses are operationalized in the methods.",endpoints_only,"The theoretical mechanism is that prolonged moderate-intensity exercise induces fatigue that reduces CP, W', and the physiological thresholds (GET, RCP). The study design measures the endpoints (pre- and post-intervention values of CP, W', GET, RCP, V̇O2max) but does not measure the intermediate physiological or metabolic processes (e.g., glycogen depletion, neuromuscular fatigue, metabolite accumulation) proposed to cause these reductions.",within,The sample of recreationally active male cyclists with substantial training volume matches the population for which exercise intensity domain models and critical power concepts are developed and applied.,FALSE,"```json
{
  ""construct_validity_alignment"": ""aligned"",
  ""alignment_rationale"": ""The study directly measures the theoretical constructs of the Critical Power Model (CP and W') via the 3-minute all-out test, and the Three-Intensity-Domain Model (GET, RCP, V̇O2max) via the ramp-incremental test. All key constructs specified in the theoretical framework and hypotheses are operationalized in the methods."",
  ""mechanism_operationalisation"": ""endpoints_only"",
  ""mechanism_operationalisation_detail"": ""The theoretical mechanism is that prolonged moderate-intensity exercise induces fatigue that reduces CP, W', and the physiological thresholds (GET, RCP). The study design measures the endpoints (pre- and post-intervention values of CP, W', GET, RCP, V̇O2max) but does not measure the intermediate physiological or metabolic processes (e.g., glycogen depletion, neuromuscular fatigue, metabolite accumulation) proposed to cause these reductions."",
  ""population_boundary_fit"": ""within"",
  ""population_boundary_rationale"": ""The sample of recreationally active male cyclists with substantial training volume matches the population for which exercise intensity domain models and critical power concepts are developed and applied."",
  ""notes"": ""The Critical Power Model requires measurement of CP and W'. The Three-Intensity-Domain Model requires demarcation of domains via GET, RCP, and V̇O2max. The study measures all these constructs directly: CP and W' from the 3-minute all-out test, and GET, RCP, and V̇O2max from the ramp-incremental test with gas exchange analysis. The alignment is complete."",
  ""methods_extraction_error"": false
}
```"
Study150,aligned,"The study measures twitch torque (TT), rate of torque development (RTD), and half relaxation time (HRT) as muscle-related variables to operationalize the Postactivation Potentiation (PAP) construct via myosin regulatory light chain phosphorylation. It also measures H-reflex normalized to M-max (H/M) as a neural-related variable to operationalize the neural contribution to PAP via α-motoneuron excitability. All theoretical constructs specified (muscle PAP, neural PAP, and postactivation depression) are directly measured through these outcome variables.",mechanism_measured,"The theoretical mechanism involves both peripheral (myosin phosphorylation) and neural (α-motoneuron excitability) pathways contributing to PAP. The study design captures both pathways by simultaneously measuring muscle twitch properties (TT, RTD, HRT) and spinal reflex excitability (H/M ratio) across multiple conditioning contractions, allowing for temporal comparison of their changes.",within,"The sample consists of trained male athletes, which matches the population (trained individuals) for which PAP responses are most pronounced and for which the underlying mechanisms have been previously studied.",FALSE,"```json
{
  ""construct_validity_alignment"": ""aligned"",
  ""alignment_rationale"": ""The study measures twitch torque (TT), rate of torque development (RTD), and half relaxation time (HRT) as muscle-related variables to operationalize the Postactivation Potentiation (PAP) construct via myosin regulatory light chain phosphorylation. It also measures H-reflex normalized to M-max (H/M) as a neural-related variable to operationalize the neural contribution to PAP via α-motoneuron excitability. All theoretical constructs specified (muscle PAP, neural PAP, and postactivation depression) are directly measured through these outcome variables."",
  ""mechanism_operationalisation"": ""mechanism_measured"",
  ""mechanism_operationalisation_detail"": ""The theoretical mechanism involves both peripheral (myosin phosphorylation) and neural (α-motoneuron excitability) pathways contributing to PAP. The study design captures both pathways by simultaneously measuring muscle twitch properties (TT, RTD, HRT) and spinal reflex excitability (H/M ratio) across multiple conditioning contractions, allowing for temporal comparison of their changes."",
  ""population_boundary_fit"": ""within"",
  ""population_boundary_rationale"": ""The sample consists of trained male athletes, which matches the population (trained individuals) for which PAP responses are most pronounced and for which the underlying mechanisms have been previously studied."",
  ""notes"": ""The theory requires measurement of both muscle contractile properties (for peripheral PAP) and spinal reflex excitability (for neural PAP). The study measures: 1) Twitch Torque (TT), Rate of Torque Development (RTD), Time to Peak Torque (TtP), and Half Relaxation Time (HRT) for muscle-related PAP; 2) H-reflex/M-max ratio (H/M) for α-motoneuron excitability; 3) Voluntary activation (VA) and RMS/M for additional neural measures. This comprehensive measurement approach fully captures the theoretical constructs."",
  ""methods_extraction_error"": false
}
```"
Study151,aligned,The study measures integrated myofibrillar protein synthesis (iMyoPS) rates and intracellular regulatory signaling responses (via immunoblotting of anabolic/catabolic pathways) as primary outcomes. These directly operationalize the theoretical constructs of anabolic resistance (age-related blunting of protein synthesis) and the mechanical tension/motor unit recruitment theory of hypertrophy (acute signaling and chronic protein synthesis responses to resistance exercise). No major theoretical constructs specified are absent from measurement.,mechanism_measured,"The theoretical mechanism posits that resistance exercise induces mechanical tension and motor unit recruitment, which activates intracellular signaling pathways (e.g., mTOR, p70S6K), leading to increased myofibrillar protein synthesis and ultimately hypertrophy. The study design captures this by measuring both the acute phosphorylation of anabolic signaling proteins (mechanistic intermediate) and the integrated myofibrillar protein synthesis rates (outcome) over 48 hours post-exercise.",within,"The sample consists of untrained younger and older males, which matches the population for which both anabolic resistance theory and mechanical tension theory are relevant and commonly tested.",FALSE,"```json
{
  ""construct_validity_alignment"": ""aligned"",
  ""alignment_rationale"": ""The study measures integrated myofibrillar protein synthesis (iMyoPS) rates and intracellular regulatory signaling responses (via immunoblotting of anabolic/catabolic pathways) as primary outcomes. These directly operationalize the theoretical constructs of anabolic resistance (age-related blunting of protein synthesis) and the mechanical tension/motor unit recruitment theory of hypertrophy (acute signaling and chronic protein synthesis responses to resistance exercise). No major theoretical constructs specified are absent from measurement."",
  ""mechanism_operationalisation"": ""mechanism_measured"",
  ""mechanism_operationalisation_detail"": ""The theoretical mechanism posits that resistance exercise induces mechanical tension and motor unit recruitment, which activates intracellular signaling pathways (e.g., mTOR, p70S6K), leading to increased myofibrillar protein synthesis and ultimately hypertrophy. The study design captures this by measuring both the acute phosphorylation of anabolic signaling proteins (mechanistic intermediate) and the integrated myofibrillar protein synthesis rates (outcome) over 48 hours post-exercise."",
  ""population_boundary_fit"": ""within"",
  ""population_boundary_rationale"": ""The sample consists of untrained younger and older males, which matches the population for which both anabolic resistance theory and mechanical tension theory are relevant and commonly tested."",
  ""notes"": ""The theory requires measurement of the protein synthetic response and its regulatory signaling to test for age-related differences (anabolic resistance). The study measures iMyoPS via D2O tracer and immunoblotting of key signaling proteins (e.g., mTOR, p70S6K, 4E-BP1), providing direct operationalization. The design captures the proposed mechanistic pathway from exercise stimulus to protein synthesis outcome."",
  ""methods_extraction_error"": false
}
```"
Study152,misaligned,"The study's primary outcome measures are quadriceps peak torque (PT), central activation ratio (CAR), and rate of torque development (RTD), which are direct measures of neuromuscular function and fatigue. The introduction invoked Arthrogenic Muscle Inhibition (AMI) as the theoretical framework, which is defined as a persistent, reflexive inhibition of musculature surrounding a joint following injury, primarily measured via CAR. While CAR is measured, the study design focuses on acute fatigue responses to repeated exercise sets, not the persistent, pathology-driven inhibition central to AMI theory.",endpoints_only,"The theoretical mechanism of AMI involves joint pathology (e.g., PFP) causing altered afferent input, leading to persistent alpha-motoneuron pool inhibition, resulting in reduced voluntary muscle activation (measured by CAR). The study design captures the endpoint (reduced CAR in PFP group) and the input (presence of PFP), but does not measure the proposed intermediate neurophysiological mechanism (e.g., altered afferent input, motoneuron pool excitability). It instead measures acute fatigue (via lactate, repetitions, work) as a competing or confounding process.",within,"The sample (patients with PFP and healthy controls) matches the population for which AMI theory is most commonly applied and studied, as AMI is a proposed mechanism in various knee pathologies including PFP.",FALSE,"```json
{
  ""construct_validity_alignment"": ""misaligned"",
  ""alignment_rationale"": ""The study's primary outcome measures are quadriceps peak torque (PT), central activation ratio (CAR), and rate of torque development (RTD), which are direct measures of neuromuscular function and fatigue. The introduction invoked Arthrogenic Muscle Inhibition (AMI) as the theoretical framework, which is defined as a persistent, reflexive inhibition of musculature surrounding a joint following injury, primarily measured via CAR. While CAR is measured, the study design focuses on acute fatigue responses to repeated exercise sets, not the persistent, pathology-driven inhibition central to AMI theory."",
  ""mechanism_operationalisation"": ""endpoints_only"",
  ""mechanism_operationalisation_detail"": ""The theoretical mechanism of AMI involves joint pathology (e.g., PFP) causing altered afferent input, leading to persistent alpha-motoneuron pool inhibition, resulting in reduced voluntary muscle activation (measured by CAR). The study design captures the endpoint (reduced CAR in PFP group) and the input (presence of PFP), but does not measure the proposed intermediate neurophysiological mechanism (e.g., altered afferent input, motoneuron pool excitability). It instead measures acute fatigue (via lactate, repetitions, work) as a competing or confounding process."",
  ""population_boundary_fit"": ""within"",
  ""population_boundary_rationale"": ""The sample (patients with PFP and healthy controls) matches the population for which AMI theory is most commonly applied and studied, as AMI is a proposed mechanism in various knee pathologies including PFP."",
  ""notes"": ""AMI theory requires the measurement of persistent, reflexive inhibition of muscle activation (e.g., via CAR) that is linked to the joint pathology. The study measures CAR, which aligns. However, by testing CAR repeatedly after fatiguing exercise, the study is primarily operationalizing acute exercise-induced fatigue and recovery, not the chronic, pathology-driven inhibition that is the hallmark of AMI. The theoretical construct of interest is a stable inhibitory state, but the operational design measures a dynamic, fatigue-induced change."",
  ""methods_extraction_error"": false
}
```"
Study153,not_applicable,"The methods section describes measurement of biomechanical parameters (medial elbow torque, arm slot, arm speed, shoulder rotation, ball velocity) and compares crow hop vs. standing throws at various distances. However, no operational theory was identified in Pass 1, so there are no theoretical constructs specified against which to assess alignment.",not_applicable,NA,within,"The sample consists of high school and collegiate baseball pitchers and position players, which is appropriate for a study of throwing biomechanics in baseball.",FALSE,"```json
{
  ""construct_validity_alignment"": ""not_applicable"",
  ""alignment_rationale"": ""The methods section describes measurement of biomechanical parameters (medial elbow torque, arm slot, arm speed, shoulder rotation, ball velocity) and compares crow hop vs. standing throws at various distances. However, no operational theory was identified in Pass 1, so there are no theoretical constructs specified against which to assess alignment."",
  ""mechanism_operationalisation"": ""not_applicable"",
  ""mechanism_operationalisation_detail"": null,
  ""population_boundary_fit"": ""within"",
  ""population_boundary_rationale"": ""The sample consists of high school and collegiate baseball pitchers and position players, which is appropriate for a study of throwing biomechanics in baseball."",
  ""notes"": ""Pass 1 identified 'Kinetic Chain Theory' but classified it as 'None identified' (likely meaning not operational). Without an operational theory specifying constructs to be measured, construct validity alignment cannot be assessed. The study measures biomechanical parameters relevant to throwing mechanics, but without a stated theoretical framework linking these measures to specific constructs, the classification defaults to 'not_applicable'."",
  ""methods_extraction_error"": false
}
```"
Study154,aligned,"The study measures sprint acceleration performance (5-30 m split times) and the underlying mechanical variables of the force-velocity-power profile (F₀, v₀, P_max, S_Fv, RF_max, D_rf) as specified by the theoretical framework. All constructs named in the hypothesis—sprint acceleration performance and mechanical variables like P_max and F₀—are directly operationalized in the outcome measures.",endpoints_only,"The theoretical mechanism is that training at the load maximizing horizontal power (L_50%vdec) enhances the mechanical capacity (e.g., P_max, F₀), which in turn improves sprint acceleration. The study measures the input (training load) and outputs (mechanical variables and sprint times) but does not measure the adaptation process or confirm that changes in mechanical variables directly mediate the performance changes within the experimental timeline.",within,"The sample consists of trained sprinters with RSS experience, which aligns with the population for which force-velocity-power models in sprinting are typically developed and applied.",FALSE,"```json
{
  ""construct_validity_alignment"": ""aligned"",
  ""alignment_rationale"": ""The study measures sprint acceleration performance (5-30 m split times) and the underlying mechanical variables of the force-velocity-power profile (F₀, v₀, P_max, S_Fv, RF_max, D_rf) as specified by the theoretical framework. All constructs named in the hypothesis—sprint acceleration performance and mechanical variables like P_max and F₀—are directly operationalized in the outcome measures."",
  ""mechanism_operationalisation"": ""endpoints_only"",
  ""mechanism_operationalisation_detail"": ""The theoretical mechanism is that training at the load maximizing horizontal power (L_50%vdec) enhances the mechanical capacity (e.g., P_max, F₀), which in turn improves sprint acceleration. The study measures the input (training load) and outputs (mechanical variables and sprint times) but does not measure the adaptation process or confirm that changes in mechanical variables directly mediate the performance changes within the experimental timeline."",
  ""population_boundary_fit"": ""within"",
  ""population_boundary_rationale"": ""The sample consists of trained sprinters with RSS experience, which aligns with the population for which force-velocity-power models in sprinting are typically developed and applied."",
  ""notes"": ""The primary operational theory is the Force-Velocity-Power Relationship in Sprinting. The hypothesis explicitly predicts improvements in 'sprint acceleration performance and underlying mechanical variables (e.g., P_max, F₀)'. The methods section details measurement of: 1) Sprint performance (5-30 m split times), and 2) Mechanical profile variables (F₀, v₀, P_max, S_Fv, RF_max, D_rf). Therefore, there is direct correspondence between the theoretical constructs and the operational measures."",
  ""methods_extraction_error"": false
}
```"
Study155,not_applicable,"No theoretical framework or specific theory was identified in Pass 1. The study is purely empirical, comparing the effects of different recovery modalities on exercise-induced muscle damage (EIMD) markers without invoking a theoretical model to explain why these modalities might work.",not_applicable,NA,within,"The sample of male middle- and long-distance runners is appropriate for a study on recovery from running-based EIMD, as they are the population that would typically use such recovery modalities.",FALSE,"```json
{
  ""construct_validity_alignment"": ""not_applicable"",
  ""alignment_rationale"": ""No theoretical framework or specific theory was identified in Pass 1. The study is purely empirical, comparing the effects of different recovery modalities on exercise-induced muscle damage (EIMD) markers without invoking a theoretical model to explain why these modalities might work."",
  ""mechanism_operationalisation"": ""not_applicable"",
  ""mechanism_operationalisation_detail"": null,
  ""population_boundary_fit"": ""within"",
  ""population_boundary_rationale"": ""The sample of male middle- and long-distance runners is appropriate for a study on recovery from running-based EIMD, as they are the population that would typically use such recovery modalities."",
  ""notes"": ""The study measures standard EIMD indicators (perceived soreness via VAS, plasma CK, plasma CRP, and vertical jump height) to assess the efficacy of different recovery modalities (CWI, CWT, WBC, CON). Since no theoretical framework was specified (e.g., physiological theory of inflammation, thermoregulatory theory, or vascular theory), there is no construct to align the measures against. The design is purely comparative and descriptive."",
  ""methods_extraction_error"": false
}
```"
Study156,not_applicable,"No theoretical framework or specific theory was identified in Pass 1. The study is descriptive and comparative, measuring energy expenditure, physical activity, and training load between two groups of soccer players without invoking a theoretical construct to explain differences.",not_applicable,NA,within,"The sample consists of male youth soccer players, which is a relevant population for the descriptive comparison of energy expenditure and physical activity between academy and non-academy settings.",FALSE,"```json
{
  ""construct_validity_alignment"": ""not_applicable"",
  ""alignment_rationale"": ""No theoretical framework or specific theory was identified in Pass 1. The study is descriptive and comparative, measuring energy expenditure, physical activity, and training load between two groups of soccer players without invoking a theoretical construct to explain differences."",
  ""mechanism_operationalisation"": ""not_applicable"",
  ""mechanism_operationalisation_detail"": null,
  ""population_boundary_fit"": ""within"",
  ""population_boundary_rationale"": ""The sample consists of male youth soccer players, which is a relevant population for the descriptive comparison of energy expenditure and physical activity between academy and non-academy settings."",
  ""notes"": ""The study is atheoretical. It measures total daily energy expenditure (TDEE), physical activity (via accelerometry), pitch-based training load (via GPS), and energy/macronutrient intake. These are operational measures of physiological and behavioral outcomes, not operationalisations of a theoretical construct. Without a stated theory, construct validity alignment cannot be assessed."",
  ""methods_extraction_error"": false
}
```"
Study157,not_applicable,"No theoretical framework was identified in Pass 1, therefore there are no specified theoretical constructs to which the operational measures can be aligned or misaligned.",not_applicable,NA,unclear,"Without a specified theoretical framework, the population for which the theory was developed cannot be determined, making a fit assessment impossible.",FALSE,"```json
{
  ""construct_validity_alignment"": ""not_applicable"",
  ""alignment_rationale"": ""No theoretical framework was identified in Pass 1, therefore there are no specified theoretical constructs to which the operational measures can be aligned or misaligned."",
  ""mechanism_operationalisation"": ""not_applicable"",
  ""mechanism_operationalisation_detail"": null,
  ""population_boundary_fit"": ""unclear"",
  ""population_boundary_rationale"": ""Without a specified theoretical framework, the population for which the theory was developed cannot be determined, making a fit assessment impossible."",
  ""notes"": ""The study is an intervention trial (aquatic Nordic walking vs. control) measuring a comprehensive battery of physiological, vascular, cognitive, and biochemical outcomes in older adults with type 2 diabetes and mild cognitive impairment. However, as no operational theory (e.g., a specific model of exercise-induced neurovascular coupling, inflammation, or cognitive improvement) was identified as the primary theoretical claim guiding the hypotheses, a construct validity assessment cannot be performed. The measures are extensive but not linked to a prior theoretical construct specification."",
  ""methods_extraction_error"": false
}
```"
Study158,partial,"The study measures cardiac output (CO) and stroke volume (SV) during HIIE protocols, which directly operationalizes the primary theoretical construct (CO as the determinant of VO2max). However, the study does not measure training-induced changes in VO2max, which is the ultimate outcome specified in the theoretical prediction. The design is acute, measuring only the immediate CO response to HIIE, not the chronic adaptations.",endpoints_only,The theoretical mechanism is that acute CO responses to HIIE mediate sex differences in training-induced changes in VO2max. The study design captures the first part (acute CO response to HIIE) but does not measure the training-induced changes in VO2max or the mediation over time. It measures the proposed mediator (CO) in response to the stimulus (HIIE) but lacks the longitudinal outcome (VO2max adaptation).,within,"The sample consists of healthy, active, non-obese adults, which is consistent with the population for which exercise physiology theories like the Fick principle and acute-chronic adaptation link are typically applied.",FALSE,"```json
{
  ""construct_validity_alignment"": ""partial"",
  ""alignment_rationale"": ""The study measures cardiac output (CO) and stroke volume (SV) during HIIE protocols, which directly operationalizes the primary theoretical construct (CO as the determinant of VO2max). However, the study does not measure training-induced changes in VO2max, which is the ultimate outcome specified in the theoretical prediction. The design is acute, measuring only the immediate CO response to HIIE, not the chronic adaptations."",
  ""mechanism_operationalisation"": ""endpoints_only"",
  ""mechanism_operationalisation_detail"": ""The theoretical mechanism is that acute CO responses to HIIE mediate sex differences in training-induced changes in VO2max. The study design captures the first part (acute CO response to HIIE) but does not measure the training-induced changes in VO2max or the mediation over time. It measures the proposed mediator (CO) in response to the stimulus (HIIE) but lacks the longitudinal outcome (VO2max adaptation)."",
  ""population_boundary_fit"": ""within"",
  ""population_boundary_rationale"": ""The sample consists of healthy, active, non-obese adults, which is consistent with the population for which exercise physiology theories like the Fick principle and acute-chronic adaptation link are typically applied."",
  ""notes"": ""The primary theoretical claim is operational: cardiac output mediates sex differences in training-induced VO2max changes. The measured constructs are CO and SV during acute HIIE. The missing construct is the chronic adaptation in VO2max. The study is cross-sectional/acute, testing only the first link in the proposed causal chain (HIIE → acute CO response)."",
  ""methods_extraction_error"": false
}
```"
Study159,not_applicable,"No theoretical framework or constructs were identified in Pass 1. The study is purely descriptive, comparing GPS-derived running performance metrics (e.g., distance, speed, acceleration, power events) between elite and sub-elite Gaelic football players across match quarters. Without a stated theory or hypothesized constructs, there is nothing to align the operational measures against.",not_applicable,NA,within,"The sample consists of adult male Gaelic football players from elite and sub-elite teams, which is the appropriate population for a study aiming to describe and compare match-running performance in this sport.",FALSE,"```json
{
  ""construct_validity_alignment"": ""not_applicable"",
  ""alignment_rationale"": ""No theoretical framework or constructs were identified in Pass 1. The study is purely descriptive, comparing GPS-derived running performance metrics (e.g., distance, speed, acceleration, power events) between elite and sub-elite Gaelic football players across match quarters. Without a stated theory or hypothesized constructs, there is nothing to align the operational measures against."",
  ""mechanism_operationalisation"": ""not_applicable"",
  ""mechanism_operationalisation_detail"": null,
  ""population_boundary_fit"": ""within"",
  ""population_boundary_rationale"": ""The sample consists of adult male Gaelic football players from elite and sub-elite teams, which is the appropriate population for a study aiming to describe and compare match-running performance in this sport."",
  ""notes"": ""The study is atheoretical and descriptive in nature. It measures physical performance outputs via GPS but does not invoke any psychological, physiological, or biomechanical theory that would require construct validation. The purpose is to compare observable activity profiles between two competition levels, not to test a theoretical model."",
  ""methods_extraction_error"": false
}
```"
Study160,unclear,"The study measures hormonal parameters (testosterone, cortisol, T/C ratio) and quantitative EEG brain wave activity (alpha, beta, SMR, theta) before and after a K1 bout. However, no explicit theoretical framework or specific constructs were identified in the introduction to which these measures should correspond. The introduction reviews literature on hormones, brain function, and injury in combat sports but does not state a testable theory or hypothesis linking specific constructs.",not_applicable,NA,within,"The sample consists of male professional K1 kickboxers from Poland, which aligns with the population discussed in the introduction regarding hormonal and neurological research in combat sports.",FALSE,"```json
{
  ""construct_validity_alignment"": ""unclear"",
  ""alignment_rationale"": ""The study measures hormonal parameters (testosterone, cortisol, T/C ratio) and quantitative EEG brain wave activity (alpha, beta, SMR, theta) before and after a K1 bout. However, no explicit theoretical framework or specific constructs were identified in the introduction to which these measures should correspond. The introduction reviews literature on hormones, brain function, and injury in combat sports but does not state a testable theory or hypothesis linking specific constructs."",
  ""mechanism_operationalisation"": ""not_applicable"",
  ""mechanism_operationalisation_detail"": null,
  ""population_boundary_fit"": ""within"",
  ""population_boundary_rationale"": ""The sample consists of male professional K1 kickboxers from Poland, which aligns with the population discussed in the introduction regarding hormonal and neurological research in combat sports."",
  ""notes"": ""Since no operational theory was identified in Pass 1, the construct validity assessment defaults to 'unclear'. The methods describe measurement of physiological (hormonal) and neurophysiological (QEEG) variables, but without a stated theoretical framework specifying which constructs these variables operationalize, alignment cannot be determined. The study appears exploratory/correlational rather than theory-testing."",
  ""methods_extraction_error"": false
}
```"
Study161,misaligned,"The study measures decision-making performance (DMI), Stroop task performance, and physiological/recovery variables, but none of these directly operationalize the theoretical constructs from Ecological Dynamics, the Multifactorial Model of Sports Performance, or the Psychobiological State Model of Mental Fatigue. The introduction invoked these theories, but the methods do not measure key constructs like perception-action coupling, constraints, or the specific psychobiological state of mental fatigue as defined by those models.",endpoints_only,"The theoretical mechanism (e.g., mental fatigue impairing decision-making via attentional or perceptual changes) is not measured. The study measures the input (smartphone use duration) and outputs (Stroop performance, decision-making index), but does not measure the intermediate attentional, perceptual, or psychophysiological changes proposed by the cited theories as the mechanism linking mental fatigue to performance.",within,The sample of professional male soccer athletes is consistent with the population for which sports performance and mental fatigue theories are typically developed and applied.,FALSE,"```json
{
  ""construct_validity_alignment"": ""misaligned"",
  ""alignment_rationale"": ""The study measures decision-making performance (DMI), Stroop task performance, and physiological/recovery variables, but none of these directly operationalize the theoretical constructs from Ecological Dynamics, the Multifactorial Model of Sports Performance, or the Psychobiological State Model of Mental Fatigue. The introduction invoked these theories, but the methods do not measure key constructs like perception-action coupling, constraints, or the specific psychobiological state of mental fatigue as defined by those models."",
  ""mechanism_operationalisation"": ""endpoints_only"",
  ""mechanism_operationalisation_detail"": ""The theoretical mechanism (e.g., mental fatigue impairing decision-making via attentional or perceptual changes) is not measured. The study measures the input (smartphone use duration) and outputs (Stroop performance, decision-making index), but does not measure the intermediate attentional, perceptual, or psychophysiological changes proposed by the cited theories as the mechanism linking mental fatigue to performance."",
  ""population_boundary_fit"": ""within"",
  ""population_boundary_rationale"": ""The sample of professional male soccer athletes is consistent with the population for which sports performance and mental fatigue theories are typically developed and applied."",
  ""notes"": ""The theories cited (Ecological Dynamics, Multifactorial Model, Psychobiological State Model) require measurement of constructs like perception-action coupling, individual constraints, or specific psychobiological states. The study measures decision-making outcomes (DMI) and Stroop task performance (a generic cognitive test), but these do not operationalize the theoretical constructs specified. The Stroop task is used as a manipulation check for mental fatigue, not as a measure of the theoretical mechanism."",
  ""methods_extraction_error"": false
}
```"
Study162,not_applicable,No theoretical framework or specific theory was identified in Pass 1. The study appears to be testing a straightforward biomechanical intervention (shoe with carbon fiber plate) on physiological and performance outcomes without invoking a named theoretical construct.,not_applicable,NA,within,"The sample consists of trained male runners, which is appropriate for a study investigating running economy and performance in specialized footwear.",FALSE,"```json
{
  ""construct_validity_alignment"": ""not_applicable"",
  ""alignment_rationale"": ""No theoretical framework or specific theory was identified in Pass 1. The study appears to be testing a straightforward biomechanical intervention (shoe with carbon fiber plate) on physiological and performance outcomes without invoking a named theoretical construct."",
  ""mechanism_operationalisation"": ""not_applicable"",
  ""mechanism_operationalisation_detail"": null,
  ""population_boundary_fit"": ""within"",
  ""population_boundary_rationale"": ""The sample consists of trained male runners, which is appropriate for a study investigating running economy and performance in specialized footwear."",
  ""notes"": ""The study measures running economy (VO2), spatiotemporal gait parameters, blood lactate, and 3000m time trial performance. Since no operational theory was identified, there are no theoretical constructs to align these measures against. The research question is empirical (does a carbon fiber plate improve running economy and performance?) rather than theory-testing."",
  ""methods_extraction_error"": false
}
```"
Study164,aligned,"The study's primary outcome measure is muscle oxygen consumption (mVO₂), which directly operationalizes the theoretical construct of 'tissue metabolism' specified in the introduction. The NIRS-derived measures of oxyhemoglobin, deoxyhemoglobin, total hemoglobin, and tissue saturation index provide secondary indicators of metabolic activity and oxygen dynamics within the muscle tissue.",endpoints_only,"The theoretical mechanism is that cold-water immersion reduces tissue metabolism. The study design captures the input (CWI at 10°C or 15°C) and the output (change in mVO₂), but does not measure the intermediate biochemical or physiological processes (e.g., enzyme activity, mitochondrial respiration, ATP turnover) by which cold exposure theoretically reduces metabolic rate.",within,The sample of trained male long-distance runners is consistent with the athletic population for which recovery interventions like CWI are typically studied and applied.,FALSE,"```json
{
  ""construct_validity_alignment"": ""aligned"",
  ""alignment_rationale"": ""The study's primary outcome measure is muscle oxygen consumption (mVO₂), which directly operationalizes the theoretical construct of 'tissue metabolism' specified in the introduction. The NIRS-derived measures of oxyhemoglobin, deoxyhemoglobin, total hemoglobin, and tissue saturation index provide secondary indicators of metabolic activity and oxygen dynamics within the muscle tissue."",
  ""mechanism_operationalisation"": ""endpoints_only"",
  ""mechanism_operationalisation_detail"": ""The theoretical mechanism is that cold-water immersion reduces tissue metabolism. The study design captures the input (CWI at 10°C or 15°C) and the output (change in mVO₂), but does not measure the intermediate biochemical or physiological processes (e.g., enzyme activity, mitochondrial respiration, ATP turnover) by which cold exposure theoretically reduces metabolic rate."",
  ""population_boundary_fit"": ""within"",
  ""population_boundary_rationale"": ""The sample of trained male long-distance runners is consistent with the athletic population for which recovery interventions like CWI are typically studied and applied."",
  ""notes"": ""The theory 'Temperature-Induced Reduction In Tissue Metabolism' is operational and specifies a reduction in metabolic rate as the outcome. The study directly measures muscle oxygen consumption (mVO₂), which is a valid and standard physiological proxy for local tissue metabolic rate. Secondary NIRS measures (O₂Hb, HHb, tHb, TSI%) further characterize the oxygen delivery and utilization environment related to metabolism."",
  ""methods_extraction_error"": false
}
```"
Study165,not_applicable,"No theoretical framework or constructs were identified in Pass 1. The study is purely descriptive, comparing turn metrics across positional groups without invoking any explanatory theory about why differences might exist or what they might signify.",not_applicable,NA,within,"The sample consists of elite male soccer players from an English Premier League team, which is a typical and appropriate population for descriptive performance analysis in team sports.",FALSE,"```json
{
  ""construct_validity_alignment"": ""not_applicable"",
  ""alignment_rationale"": ""No theoretical framework or constructs were identified in Pass 1. The study is purely descriptive, comparing turn metrics across positional groups without invoking any explanatory theory about why differences might exist or what they might signify."",
  ""mechanism_operationalisation"": ""not_applicable"",
  ""mechanism_operationalisation_detail"": null,
  ""population_boundary_fit"": ""within"",
  ""population_boundary_rationale"": ""The sample consists of elite male soccer players from an English Premier League team, which is a typical and appropriate population for descriptive performance analysis in team sports."",
  ""notes"": ""The methods section describes a purely descriptive, observational study design. It operationalizes 'turning' using specific kinematic thresholds (deceleration, angle change, acceleration) derived from tracking data and compares frequencies across playing positions. Since no theoretical constructs (e.g., from motor control, skill acquisition, tactical theory, or biomechanical models) were identified as being tested, there is no construct alignment to assess. The study aims to describe 'what' happens, not to test 'why' it happens according to a specific theory."",
  ""methods_extraction_error"": false
}
```"
