article_id,hypothesis_text,linked_theory,linkage_strength,inference_type,mechanism_specified,mechanism_description,linkage_explanation
Study057,"The higher the oxidative component of RSE (i.e., the shorter the sprint duration and consequently the recovery duration), the larger the hypoxia-induced decrement in RSE performance to exhaustion.",NA,none,none,TRUE,"Shorter sprints rely more on the oxidative system (PCr breakdown/resynthesis and oxygen reserve). During RSE with short sprints and incomplete recovery, the oxidative system and oxygen reserve are mobilized. Oxygen bound to myoglobin is decisive for sprints relying on the oxidative pathway. Hypoxia would therefore impair performance more when the oxidative component is higher.","The hypothesis is grounded in empirical observations about energy system contributions during sprints of different durations, not in a formal, named theory."
Study058,"Impairments in neuromuscular function would be present during bouts of exercise at 70% and 90% GET, but that fatigability would be greater at 110% than 90% GET, with no difference between 90% and 70% GET.",Metabolic Thresholds / Exercise Intensity Domains Model; Metabolite Accumulation Model Of Fatigue,implicit,consistent,TRUE,"During heavy-intensity exercise (supra-GET), there is a loss of efficiency, increased ATP cost of force generation, and a disproportionately higher VO2, PCr degradation, and metabolite accumulation (e.g., Pi, H+) before a delayed metabolic steady state, which impairs contractile function. During moderate-intensity exercise (sub-GET), metabolite concentrations stabilize but are elevated relative to rest due to VO2 on-kinetics.","The hypothesis is consistent with the theoretical framework that crossing the GET into the heavy domain disrupts metabolic homeostasis and accelerates metabolite accumulation, leading to greater performance fatigability."
Study058,Impairments in subsequent exercise performance would be exacerbated in response to work-matched exercise at supra-compared with sub-GET.,Metabolic Thresholds / Exercise Intensity Domains Model; Metabolite Accumulation Model Of Fatigue,implicit,consistent,TRUE,"Supra-GET exercise induces greater metabolic disturbances (e.g., metabolite accumulation, increased ATP cost, glycogen depletion-related impairments) that impair neuromuscular function and carry over to reduce performance in a subsequent task.",The hypothesis is consistent with the theoretical expectation that the greater metabolic and neuromuscular disturbances above the GET would have lingering effects that impair subsequent performance.
Study059,The combination of Yi Jin Jing and Elastic Band Resistance exercise could improve BMD and related bone metabolic marker levels at various sites in postmenopausal women.,NA,none,none,FALSE,NA,"The hypothesis is motivated by a review of practical evidence and limitations of prior studies, not by a formal theoretical framework."
Study060,Eccentric training (ET) would attenuate decreases in muscle function and CSA of the immobilized arm greater than concentric training (CT).,Cross-Education Effect,implicit,abductive,FALSE,NA,"The hypothesis is based on prior empirical observations that the cross-education effect is greater after eccentric training than concentric training, not on a direct deductive claim from the theory."
Study060,ET would provide greater protective effects against muscle damage induced by maximal eccentric exercise after immobilization than CT.,Repeated Bout Effect,implicit,abductive,FALSE,NA,"The hypothesis is based on the observation that a contralateral repeated bout effect exists, but the specific comparison between ET and CT for this protective effect is an empirical extension, not a direct theoretical prediction."
Study061,Field hockey athletes would display altered scapular balance ratios compared with healthy nonathletes.,NA,none,none,FALSE,NA,"The hypothesis is based on prior empirical observations of sport-specific adaptations and the biomechanical demands of field hockey, not on a formal theoretical framework."
Study062,"Muscular activation, perception of effort, and cardiorespiratory responses would be greater during ECC cycling exercise at 30 rpm compared with 60 rpm.",Implicit Physiological Load Theory,implicit,consistent,TRUE,"For a given power output, increasing or decreasing cadence from optimal ones led to increase physiological and perceptual responses. At 30 rpm, greater torque per pedal stroke is required, increasing muscular demand and associated physiological/perceptual costs.",The hypothesis is consistent with the implicit theory that physiological load is modulated by cadence due to changes in torque per pedal stroke at constant power.
Study062,Neuromuscular alterations would be similar for both cadence conditions.,Implicit Neuromuscular Fatigue Equivalence Theory,implicit,abductive,FALSE,NA,"The hypothesis is abductively inferred from prior empirical findings showing similar strength loss after ECC cycling at different cadences when work is matched, not from a deductive causal theory."
Study063,"Exercisers given more autonomy will have more positive psychological responses compared to imposed HIIT sessions despite each session of exercise being matched for time, intensity, and total work.",Self-Determination Theory,explicit,consistent,TRUE,"SDT suggests that motivation towards a behavior is enhanced when individuals perceive personal agency and autonomy regarding their actions, and that behaviors undertaken autonomously result in greater enjoyment, more positive affective responses, and adherence.","The hypothesis is explicitly derived from SDT, which posits that autonomy enhances motivation and leads to more positive psychological outcomes."
Study065,"Caffeine ingestion improves pace-controlled simulated 800-m run performance by increasing ventilation, thereby reducing Exercise-Induced Arterial Hypoxemia (EIAH).",Caffeine's Adenosine Receptor Antagonism Mechanism; Exercise-Induced Arterial Hypoxemia (EIAH) Fatigue Model,explicit,consistent,TRUE,"Caffeine increases exercise ventilation (via adenosine-dependent mechanisms), which partially mitigates EIAH. EIAH impairs performance by diminishing oxygen supply to cerebral tissues and active muscles, leading to central and peripheral fatigue.","The hypothesis integrates two theories: caffeine's mechanism for increasing ventilation and the EIAH model of fatigue, proposing that the former acts on the latter to improve performance."
Study066,"Hypohydration would impair 3 km running performance in a temperate environment, compared to when euhydration was maintained with water ingestion.",NA,none,none,TRUE,"The negative effects of hypohydration (e.g., physiological strain) could be off-set by the positive effects of weight loss, as decreased body mass may increase the power-to-weight ratio and reduce the oxygen cost of running. However, quicker athletes predisposed to greater hypohydration might see this weight loss attenuate or abolish the negative effects on performance.","The hypothesis is empirically motivated by prior conflicting findings and a practical research gap, with no theoretical framework cited to generate the prediction."
Study067,Resisted sprints will be effective in eliciting both a Postactivation Performance Enhancement (PAPE) effect and a priming effect.,Postactivation Performance Enhancement (Pape),explicit,abductive,FALSE,NA,"The hypothesis is explicitly linked to PAPE theory, but the reasoning is based on prior empirical findings rather than a direct deduction from the theory's core principles."
Study068,The ability to resist changes in running economy (RE) would be superior in trained versus untrained runners.,Physiological Resilience/Durability Framework,implicit,consistent,FALSE,NA,"The hypothesis is consistent with the concept that durability is a physiological trait that may adapt to training, as suggested by the framework, but it is not a direct logical deduction from it."
Study068,The ability to resist changes in VO2max would be superior in trained versus untrained runners.,Physiological Resilience/Durability Framework,implicit,consistent,FALSE,NA,"The hypothesis is consistent with the concept that durability is a physiological trait that may adapt to training, as suggested by the framework, but it is not a direct logical deduction from it."
Study068,The relative intensity (VO2/attainable VO2max) would increase more in the untrained than in the trained runners.,Physiological Resilience/Durability Framework,implicit,derived,TRUE,"The text states this is 'an inevitable consequence of Hypotheses 1 and 2', implying that if trained runners resist declines in RE and VO2max better, then the calculated relative intensity for a fixed workload will increase less for them compared to untrained runners.","This hypothesis is presented as a logical consequence of the first two hypotheses, which are applications of the durability framework; therefore, its derivation is contingent on the framework's application to the trained/untrained comparison."
Study069,"The flywheel-based program would improve more thoroughly those actions that rely highly on the stretch-shortening cycle toward performance (ie, countermovement jump [CMJ]).",Stretch-Shortening Cycle (SSC) Theory,implicit,abductive,TRUE,"Flywheel training enhances the eccentric phase of contraction, which is the prestretch phase of the SSC, leading to greater improvements in SSC-dependent actions like the CMJ.","The hypothesis is linked to SSC Theory because it predicts greater improvement specifically for SSC-dependent actions, and flywheel training is described as enhancing the eccentric (prestretch) phase central to the SSC."
Study069,Both groups would generally achieve similar improvements in 8 weeks of training.,NA,none,none,FALSE,NA,"This hypothesis is an empirical prediction based on the unclear comparative effectiveness noted in prior meta-analyses, not on a theoretical framework."
Study070,"The average vertical loading rate (AVLR) and vertical impact peak (VIP) of the vertical ground-reaction force (vGRF) would be significantly higher initially in the maximal shoe but would significantly decrease at the 6-week follow-up, negating any differences between shoes.",NA,none,none,FALSE,NA,"The hypothesis is based on conflicting prior empirical findings and a practical research gap, with no theoretical framework cited or implied."
Study070,No differences between shoes or changes over time were hypothesized for ankle kinematics.,NA,none,none,FALSE,NA,This null hypothesis is stated without reference to any theoretical rationale; it appears to be a default prediction for an unexamined variable.
Study071,"Acute changes in markers of inflammation, cellular damage, BLa, perceived pain and RPE would be greater after HIIT compared to MIIT.",NA,none,none,FALSE,NA,"The hypothesis is empirically motivated by prior findings and the practical aim of comparing two exercise intensities, with no theoretical framework cited."
Study071,MIIT would be more tolerable in sedentary adults with high BMI.,NA,none,none,FALSE,NA,"The hypothesis is based on practical concerns about tolerance in a high-BMI population, not derived from any theoretical model."
Study072,Hamstring and trunk muscle activities and latencies would increase when trunk perturbations were not anticipated.,Kinetic Chain Theory / Proximal Stability Model,implicit,consistent,TRUE,"Unanticipated movements may lead to uncontrolled trunk and pelvis displacement, placing the hamstring muscles in a high-strain position. An adequate response to sudden trunk loading depends on correct muscle recruitment and timing patterns to assure mechanical stability. Delayed muscle response increases injury risk.",The hypothesis is consistent with the kinetic chain principle that proximal stability is required for distal function and that impaired coordination in the trunk-pelvic chain could lead to altered neuromuscular responses.
Study072,"Athletes with a history of hamstring strain injury demonstrate altered activation coordination in the muscles stabilising the trunk and pelvis, compared with non-injured athletes.",Kinetic Chain Theory / Proximal Stability Model,implicit,abductive,TRUE,"Athletes with a history of hamstring strain injury could demonstrate impaired muscle response coordination in the trunk, pelvis, and lower extremity kinetic chain during sudden and unexpected movements, which could be one of the possible mechanisms of risk reinjury.","The hypothesis was likely generated from prior empirical observations (e.g., studies on low back pain showing delayed muscle responses, and the cited prospective study on soccer players) and is framed post-hoc within the kinetic chain model."
Study073,Performance was expected to improve after introduction of the analogy.,Conscious Processing Hypothesis / Explicit Monitoring Theory,implicit,consistent,TRUE,"Analogy learning limits the amount of verbal information novices access, leading to lower reliance on declarative knowledge and reduced processing demands during motor planning, which frees up information processing capacity and allows stable performance.","The hypothesis is consistent with the theory's claim that reducing conscious, verbal control of movement (a characteristic of analogy learning) benefits motor performance."
Study073,Performance improvement after the analogy would be more strongly so for people with a high verbal preference.,Cognitive Style Theory (Visual-Verbal Preference),explicit,consistent,TRUE,"People with high verbal preference rely more on verbal processes to control movements; therefore, an analogy (which reduces verbal control processes) should render their processing more efficient and provide greater benefit.",The hypothesis is logically consistent with the interaction proposed between cognitive style (verbal preference) and the mechanism of analogy instruction (reducing verbal-analytic engagement).
Study073,A stronger increase in high-alpha power during movement preparation was expected for the verbal preference group.,Conscious Processing Hypothesis / Explicit Monitoring Theory,implicit,consistent,TRUE,"Increased high-alpha power at verbal-analytic sites (e.g., T7) indicates suppression of verbal-analytical processes; people with high verbal preference, who rely more on such processes, should show a greater increase in alpha power (greater suppression) when an analogy reduces their verbal engagement.","The hypothesis links a neural index of reduced conscious verbal processing (increased alpha power) to the cognitive style of the learner, within the framework that analogy learning works by reducing explicit monitoring."
Study074,"Bumper plates would show increases in total work, which will also cause an increase in time under load.",NA,none,none,TRUE,Bar deformation causes a decrease in the total work needed to complete the lift because of the decreased distance that the center of the bar needs to travel.,"The hypothesis is motivated by prior anecdotal evidence and a single study on deadlifts, not by a formal theoretical framework."
Study074,"The increased moment of inertia of the bumper could reduce the lifter's ability to make small adjustments to force production during the lift and would therefore cause an increase in muscle activation and an increase in the joint moments at the shoulder, elbow, and wrist.",NA,none,none,TRUE,"A higher moment of inertia increases resistance to angular rotation, making it more difficult to correct bar path errors caused by force asymmetry between arms; this difficulty requires increased muscle activation and joint moments to control the bar.","The hypothesis is derived from basic physics principles (moment of inertia) and biomechanical reasoning about movement control, not from a named psychological, physiological, or motor control theory."
Study075,Music would rearrange the brain's electrical frequency to a greater degree than a podcast.,Neural Fatigue/Theta Modulation Model,implicit,consistent,TRUE,"Music guides attention towards task-unrelated thoughts and reduces processing of internal sensory signals, objectively indicated by reductions in the spectral power of theta waves.","The hypothesis is consistent with the model's claim that pleasant auditory stimuli rearrange brain electrical activity, specifically moderating the up-regulation of theta waves associated with neural fatigue."
Study075,"Music would increase the use of task-irrelevant thoughts (e.g., focusing outwardly towards external influences) to a greater degree than a podcast.",Attentional Focus Theory (As Applied To Exercise),implicit,consistent,TRUE,Auditory stimuli reallocate attentional focus from internal bodily cues towards external environmental cues.,"The hypothesis is consistent with the theory's core premise that auditory stimuli can shift attention externally, away from associative thoughts related to fatigue."
Study075,Music would induce more positive affective responses to a greater degree than a podcast.,Affective/Arousal Regulation Theory (Via Auditory Stimuli),implicit,consistent,TRUE,"Pleasant auditory stimuli have the potential to stimulate sensory regions and deactivate areas affected by negative sensations, and music-related interventions are related to emotional experiences elicited by the stimuli.","The hypothesis is consistent with the theory that auditory stimuli, particularly music, regulate affect by engaging emotional and sensory processing pathways."
Study075,Music would enhance enjoyment to a greater degree than a podcast.,Affective/Arousal Regulation Theory (Via Auditory Stimuli),implicit,consistent,TRUE,"Music-related interventions have the potential to facilitate the control of movements, enhance enjoyment, and induce positive affective memories.",The hypothesis is consistent with the theoretical framework that music elicits emotional and hedonic responses that increase enjoyment during exercise.
Study076,"A more negative touchdown distance (i.e., landing with the stance foot further behind/less far in front of the CM) would be associated with a greater ratio of forces during the first four steps of a maximal effort sprint.",Force-Vector Theory Of Sprint Acceleration,implicit,consistent,TRUE,Specific joint and segment angular kinematics would underpin the relationship between touchdown distance and ratio of forces.,"The hypothesis is consistent with the Force-Vector Theory's principle that effective orientation of the external force vector (quantified by RF) is key for acceleration, and the cited research suggests touchdown distance influences this orientation."
Study076,A more negative touchdown distance would be associated with greater initial acceleration performance.,Force-Vector Theory Of Sprint Acceleration,implicit,consistent,FALSE,NA,"The hypothesis is consistent with the theory's framework, as a higher RF (promoted by a negative touchdown distance) is a known determinant of acceleration performance, but the theory does not strictly entail a direct touchdown distance-performance link."
Study077,Stroboscopic eyewear should provide stronger performance gains after the warm-up when compared to normal vision.,Acute Attention Modulation Hypothesis,implicit,consistent,TRUE,"The limitation of visual input under stroboscopic vision creates a more challenging environment, which is hypothesized to lead to higher attention levels. Since attention is strongly related to visuomotor abilities such as reaction speed, this acute modulation is expected to benefit performance when returning to normal vision.","The hypothesis is consistent with the theory that acute stroboscopic exposure modulates attention, which in turn enhances visuomotor performance."
Study078,"A low relative load (60% 1RM) and a high velocity loss (30%) would result in an increased RE 2000 time trial (i.e., worse performance) than a high relative load (80% 1RM) and a low velocity loss (10%).",Resistance Training-Induced Suboptimization On Endurance Performance (RT-SEP),implicit,consistent,TRUE,"High-intensity and high-volume resistance training may increase susceptibility to RT-SEP, impairing subsequent endurance performance. A protocol with high velocity loss (30%) is suggested to induce greater fatigue than one with low velocity loss (10%).","The hypothesis is consistent with the RT-SEP concept that resistance training-induced fatigue can impair subsequent endurance performance, with the specific prediction that higher velocity loss (implying higher volume/fatigue) will be more detrimental."
Study078,"A decrement in A_line, more predominant in v_0 than in L_0, would be expected after the most fatiguing protocols (VBT 60-30 + RE 2000, VBT 80-30 + RE 2000, VBT 60-10 + RE 2000, VBT 80-10 + RE 2000, RE 2000).",Load-Velocity Relationship Model (For Neuromuscular Fatigue Assessment),implicit,abductive,TRUE,"Fatiguing protocols are expected to reduce maximal neuromuscular capacities. The L-V relationship variables (L_0, v_0, A_line) are recommended to assess these capacities, with v_0 (maximal velocity) being more sensitive to fatigue than L_0 (maximal force) in this context.","The hypothesis uses the L-V relationship model as a measurement framework to assess fatigue, predicting a specific pattern of change (greater decline in v_0) based on prior empirical observations of fatigue effects."
Study079,Less available time would imply higher mental fatigue than soccer scenarios with more available time.,Constraints-Led Approach (As Applied To Training Design),explicit,abductive,TRUE,"Limited decision-time implies higher cognitive processing because players must make decisions faster, and time-pressure may lead to states of ego-depletion due to an overload of the cognitive processing system. Time pressure might also cause negative emotions (e.g., stress, anxiety).","The hypothesis is explicitly linked to Cárdenas et al. (2015), whose work is framed within the constraints-led approach, but the reasoning is abductive, building from observed effects of time pressure on cognition and emotion to predict mental fatigue."
Study079,Less available time would imply higher internal physical load than soccer scenarios with more available time.,NA,none,none,FALSE,NA,The hypothesis for internal physical load is presented without any theoretical grounding; it is a practical prediction following from the general study aim.
Study079,Less available time would imply higher external physical load than soccer scenarios with more available time.,NA,none,none,FALSE,NA,The hypothesis for external physical load is presented without any theoretical grounding; it is a practical prediction following from the general study aim.
Study080,"3D MOT training will lead to positive effects in near-transfer (i.e., measures of attention) and far-transfer (i.e., decision-making).",Theoretical Assumptions Of 3d Mot,explicit,consistent,FALSE,NA,"The hypothesis is explicitly based on the theoretical assumptions of 3D MOT and existing evidence, but the theory does not logically entail the specific transfer effects."
Study081,Higher MTPJ stiffness would lead to increased jump height and take-off velocity.,Mechanical Linkage Model (Mtpj Stiffness To Leg Stiffness To Jump Performance),implicit,consistent,TRUE,"Increased MTPJ stiffness may tighten the foot intrinsic muscles ligament and plantar fascia and thus increase leg stiffness. Larger leg stiffness is associated with better take-off velocity and jump height, as indicated by the higher GRF generated.",The hypothesis is consistent with the mechanical linkage model's proposed causal chain from MTPJ stiffness to leg stiffness to jump performance.
Study081,"MTPJ stiffness would relate more to MTPJ variables (e.g., angle, velocity, loading) than to other proximal joint variables.",Mechanical Linkage Model (Mtpj Stiffness To Leg Stiffness To Jump Performance),implicit,consistent,FALSE,NA,The hypothesis is consistent with the model's focus on the MTPJ as a distinct mechanical element whose properties should most directly affect its own kinematics and kinetics.
Study082,Intrinsic and extrinsic foot muscles would be damaged by full marathon running.,Core Stability Of The Foot (Concept),implicit,consistent,TRUE,Intrinsic foot muscles work as primary stabilizers of the foot arches; marathon-induced fatigue/damage to these muscles may be predicted in the lowered arch by prolonged running.,The hypothesis is compatible with the concept's framing of intrinsic muscles as primary arch stabilizers that would be vulnerable to the demands of prolonged running.
Study082,This damage would be more prominent in intrinsic foot muscles than in extrinsic muscles.,Core Stability Of The Foot (Concept),implicit,consistent,TRUE,"Intrinsic foot muscles are assumed to support the foot longitudinal arch primarily, which would not be maintained after marathon running.",The differential prediction follows from the concept's distinction between intrinsic muscles as primary/local stabilizers and extrinsic muscles as global movers with secondary stabilizing roles.
Study083,sprint performance would decrease post-fatigue,NA,none,none,FALSE,NA,"The hypothesis is based on prior empirical observations of fatigue's effect on performance, not on a theoretical framework."
Study083,anteroposterior propulsive forces would decrease post-fatigue,NA,none,none,FALSE,NA,"The hypothesis is extrapolated from prior treadmill-based studies (e.g., Morin et al., 2011a; Edouard et al., 2018) and applied to a new population, without invoking a theoretical model."
Study084,"After the 12-week retraining program, the majority of runners who were accustomed to RFS would transition to FFS.",NA,none,none,FALSE,NA,"This is a prediction about the success of the intervention protocol, not a theoretical prediction about tendon adaptation."
Study084,"After the 12-week retraining program, the morphological properties (length and CSA) of AT would increase.",Mechanoresponsive Adaptation Theory,implicit,consistent,TRUE,"Increased mechanical stress on AT from the FFS pattern (due to greater triceps surae activation and higher stretching speed) provides an appropriate mechanical loading stimulus, which, as a mechanoresponsive structure, improves its mechanical properties.",The hypothesis is consistent with the theory that tendons adapt positively to increased mechanical loading.
Study084,"After the 12-week retraining program, the peak force, stress, corresponding loading rate, and elongation of AT would increase.",Mechanoresponsive Adaptation Theory,implicit,consistent,TRUE,"The FFS pattern requires greater triceps surae activation, producing greater plantar-flexion force transmitted through the AT, resulting in increased mechanical stress.","The hypothesis is consistent with the theory that mechanical loading drives adaptation, and the proposed intervention is designed to increase that load."
Study085,An interaction would be present between shoe and limb conditions.,Biomechanical Chain Model; Limb Dominance / Asymmetry Model,implicit,consistent,FALSE,NA,"The hypothesis is consistent with the biomechanical chain concept (ankle restriction affects knee mechanics) and limb asymmetry models, but is not a direct logical deduction from either."
Study085,The DL in the MC shoe would have smaller sagittal plane knee joint angles and moments and larger frontal plane knee joint angles and moments than the NDL in the LT shoe.,Biomechanical Chain Model; Limb Dominance / Asymmetry Model,implicit,consistent,TRUE,"MC shoes restrict ankle dorsiflexion, which is linked to altered knee mechanics (e.g., greater frontal plane excursion, smaller knee flexion). Limb dominance leads to asymmetrical control and loading strategies, placing limbs at different risks.","The specific directional predictions are consistent with the biomechanical chain logic (ankle restriction → adverse knee mechanics) and the concept of limb-specific control strategies, but are not strictly entailed by a formal theory."
Study085,Smaller sagittal plane and frontal plane ankle mechanics and greater vertical and posterior directed GRF would be observed when landing while wearing the MC.,Biomechanical Chain Model,implicit,consistent,TRUE,MC shoes restrict ankle range of motion; restricted dorsiflexion is associated with greater vertical and posterior ground reaction forces and altered ankle mechanics.,The hypothesis is consistent with the biomechanical chain model and prior cited research showing high-collar shoes reduce ankle motion and that limited dorsiflexion is linked to higher GRFs.
Study085,All GRF would remain similar between limbs.,Limb Dominance / Asymmetry Model,implicit,abductive,FALSE,NA,"The hypothesis is abductively inferred from prior empirical findings (Mokhtarzadeh et al., 2017; Van der Harst et al., 2007) showing no GRF differences between limbs, not from a theoretical deduction about limb dominance."
Study087,"A single, submaximal prolonged run would increase peak tibial acceleration (PTA) and reduce Functional Movement Screen (FMS) scores in novice runners.",Fatigue-Induced Motor Control Alteration Theory,implicit,consistent,TRUE,"A prolonged run can alter motor control, and exercise training can alter FMS scores.","The hypothesis is consistent with the theory that fatigue from prolonged running alters motor control, which could manifest as increased PTA (poorer shock attenuation) and reduced FMS scores (altered movement quality)."
Study087,Three weeks of progressively increasing running volume would increase PTA and reduce FMS scores compared with those before and after the submaximal prolonged run at baseline testing.,Cumulative Loading / Tissue Stress Theory,implicit,consistent,TRUE,"If PTA remains elevated over time, cumulative exposure may result in harmful loading of the tissues of the lower leg, which may increase the risk of tibial stress fracture.",The hypothesis is consistent with the theory that cumulative mechanical loading (via increased PTA over a training period) contributes to tissue stress and potential negative adaptations like reduced movement quality.
Study087,A greater total running volume would be associated with larger increases in PTA and larger reductions in FMS scores after training in novice runners.,Cumulative Loading / Tissue Stress Theory,implicit,consistent,FALSE,NA,"The hypothesis is consistent with the theory that a greater dose of running (volume) leads to a greater cumulative load, which is theorized to increase tissue stress and potentially negative movement adaptations."
Study088,Decreased perceived effort would disproportionately correlate with throwing metrics (elbow stress and ball velocity).,NA,none,none,FALSE,NA,"The hypothesis is empirically motivated by prior observations (Melugin et al., 2023) rather than derived from any theoretical framework."
Study088,Intrathrower reliability would be acceptable when throwing at a reduced effort.,NA,none,none,FALSE,NA,"This is a methodological prediction about measurement consistency, not grounded in any theoretical account of injury or motor control."
Study089,Peak insole force and cumulative weighted peak force (CWPF) would decrease with increased step rate.,Fatigue Failure Theory (Of Musculoskeletal Structures),implicit,consistent,TRUE,"Fatigue failure behavior suggests damage depends more strongly on load magnitude than number of cycles. Increased step rate reduces load magnitude per cycle (vGRF), which is expected to reduce cumulative damage (CWPF) despite the increased number of steps.","The hypothesis is consistent with the theory's principle that load magnitude is a primary driver of microstructural damage, and the intervention aims to reduce that magnitude."
Study089,Peak axial sacral acceleration would decrease with increased step rate.,NA,none,none,FALSE,NA,"This hypothesis is a methodological prediction about a measurement surrogate (acceleration) for the primary variable (vGRF), with no direct connection to the injury theory."
Study089,Peak axial sacral acceleration multiplied by body mass would correlate with peak insole force on cohort and individual levels.,NA,none,none,FALSE,NA,"This is a validation hypothesis for a measurement method, motivated by prior correlational evidence, not by the injury theory."
Study090,"IMT would improve the MIP of elite swimmers, accelerating the lactate removal rate, and, therefore, improving swimming aerobic performance.",Respiratory Muscle Metaboreflex / Respiratory-Locomotor Muscle Competition Model,implicit,consistent,TRUE,"IMT improves inspiratory muscle strength (MIP), which reduces the competition for blood flow between respiratory and locomotor muscles during exercise, thereby reducing an O2 deficit in peripheral muscles, diminishing aerobic exercise inefficiency, and improving lactate clearance and aerobic performance.","The hypothesis is consistent with the theory's core claim that reducing respiratory muscle work and its associated metabolic demand (via IMT) should improve blood flow distribution and metabolic efficiency in locomotor muscles, leading to better performance."
Study091,Full ROM resistance training would immediately increase joint ROM and decrease muscle stiffness.,NA,none,none,FALSE,NA,"The hypothesis is based on prior empirical findings (Alizadeh et al., 2023; Warneke et al., 2022; Kawama et al., 2022, 2023) and the practical aim to clarify inconsistent results, not on a formal theoretical framework."
Study091,Stretch tolerance is related to increased joint ROM.,NA,none,abductive,FALSE,NA,"The hypothesis is presented as being 'based on previous studies' (Kawama et al., 2022) and the general statement that stretch tolerance is a factor in ROM increases (Weppler & Magnusson, 2010), indicating an observation-first, explanation-seeking reasoning pattern."
Study092,The higher cuff pressure (80% AOP) would elicit the greatest change in EMG amplitude (EMG AMP) as well as NIRS-derived parameters such as oxygenated hemoglobin (oxy[heme]) and deoxygenated hemoglobin (deoxy[heme]).,Metabolic Stress Theory Of Bfr Adaptation,implicit,consistent,TRUE,"Higher cuff pressure is hypothesized to induce greater metabolic stress (e.g., muscle acidosis, accumulation of metabolic by-products), which is proposed to increase muscle excitation (EMG AMP) via feedback from group III/IV muscle afferents and alter the skeletal muscle environment (reflected in NIRS parameters).",The hypothesis is consistent with the theory's core premise that metabolic stress is a primary driver of BFR-related adaptations and acute physiological responses.
Study092,"Men would exhibit the greatest change in MAP, NIRS parameters, and EMG AMP, whereas women would report the greatest RPE.",Exercise Pressor Reflex (Epr) Theory,implicit,abductive,TRUE,Men are hypothesized to have a greater MAP response due to an augmented exercise pressor reflex (EPR) from greater metabolic by-product accumulation during BFR; women's attenuated EPR is linked to their hypothesized lower physiological change but higher perceptual response (RPE).,"The hypothesis uses the known sex difference in EPR magnitude (men > women) to predict divergent physiological and perceptual outcomes, but this application to BFR is novel and based on combining an empirical observation (sex difference in EPR) with a practical question about BFR responses."
Study093,High-ranked adolescent table tennis players would show superior ankle proprioceptive performance to lower-ranked players and age-matched non-athletic controls.,Automatization / Skill Acquisition Theory,implicit,consistent,FALSE,NA,"The hypothesis is consistent with the theory that prolonged sport-specific training leads to skill automatization and improved sensorimotor capabilities, including proprioception."
Study093,"Ankle proprioception would be correlated with ball-hitting performance, and years of training.",Ecological Validity / Perception-Action Coupling Framework,implicit,abductive,FALSE,NA,"The hypothesis emerges from the practical problem that traditional proprioception tests lack ecological validity for sports, suggesting a link between ecologically valid proprioception and sport performance should exist."
Study093,"In the dual-task condition, high-ranked adolescent table tennis players would show less ankle proprioceptive performance decline than lower-ranked players.",Central Bottleneck Theory / Dual-Task Interference,explicit,consistent,TRUE,"Dual-task interference can be attenuated with the acquisition of automatization through prolonged sport-specific training, freeing up central processing capacity.",The hypothesis is explicitly connected to the theory that dual-task interference exists but is reduced through training-induced automatization.
Study094,A distal external focus would result in higher accuracy scores compared to a more proximal or internal focus.,Focus Of Attention (External Vs. Internal Focus) Framework,explicit,consistent,TRUE,"Distal foci are more easily distinguishable from body movements and might trigger the whole movement pattern necessary to achieve the desired outcome, particularly in skilled performers for whom movement control has become largely automatic, whereas a proximal focus might disrupt the fluidity of their movements.","The hypothesis is explicitly linked to the distance effect within the Focus of Attention framework, which predicts superior performance with distal external foci."
Study094,A distal external focus would result in increased functional variability compared to a more proximal or internal focus.,Focus Of Attention (External Vs. Internal Focus) Framework,explicit,abductive,TRUE,"An external focus increases functional variability (the compensatory mechanism in which degrees of freedom coordinate action execution without relying on conscious adaptations), and distal foci are a more effective type of external focus.","The hypothesis combines the established link between external focus and functional variability with the more recent empirical finding of a distance effect, suggesting a novel, testable interaction."
Study095,"NGF, GDNF, and COX-2 mRNA levels would increase after the first exercise bout, but the magnitude of increases would be smaller after the second than the first bout of the one-leg eccentric cycling that was performed by the same leg.",Neurotrophic Factor Hypothesis Of Doms,implicit,abductive,TRUE,"NGF and GDNF are upregulated in satellite cells and/or myofibers after eccentric contractions, sensitizing C-fibers and Aδ-fibers respectively, leading to mechanical hyperalgesia (DOMS). The RBE is associated with blunted NGF upregulation in a second bout.","The hypothesis is framed by the neurotrophic factor mechanism for DOMS, but the specific prediction about mRNA levels and their attenuation in a second bout is built from prior animal observations, not a direct deduction from the theory."
Study097,Local muscle stiffness would correlate with the respective joint ROM.,Muscle Stiffness Mechanism,implicit,consistent,FALSE,NA,"The hypothesis is consistent with the theoretical mechanism that a decrease in muscle stiffness can increase ROM, but it does not logically follow from it, as the theory primarily addresses changes within individuals, not static correlations between individuals."
Study098,Athletes applying the common osoto-gari defence reaction display higher knee joint loadings accompanied with reduced muscle excitation levels in the musculature encompassing and stabilising the knee joint compared to that of the modified osoto-gari defence reaction.,NA,none,none,TRUE,"Higher knee joint loadings and reduced muscle excitation levels are linked to the critical osteokinematic risk factors (increased valgus stress, knee flexion at ~30°, internal rotation) and neuromuscular imbalance (reduced hamstring synergies, quadriceps-hamstring imbalance) that facilitate anterior-tibial translation and ACL stress.","The hypothesis is empirically motivated by prior biomechanical and neuromuscular findings on ACL injury mechanisms, not by a formal theory."
